Date,Close/Last,Volume,Open,High,Low,Rise/Fall
2022-12-22,266.76,60278380,270.38,270.5149,262.455,0
2022-12-21,273.45,46394690,270.6,274.78,269.74,1
2022-12-20,269.54,51064200,268.56,271.32,266.95,1
2022-12-19,269.75,44167920,273.87,273.96,268.49,0
2022-12-16,274.25,68300350,276.2,277.77,272.61,0
2022-12-15,276.89,60554120,282.33,283.01,275.67,0
2022-12-14,286.51,64984430,288.05,291.41,283.19,0
2022-12-13,288.65,80667680,296.65,296.875,285.91,0
2022-12-12,285.58,35732520,282.22,285.64,281.16,1
2022-12-09,282.04,47860490,282.81,285.64,281.59,0
2022-12-08,283.85,42594910,281.91,284.84,279.79,1
2022-12-07,280.53,45614250,280.47,282.57,278.7801,1
2022-12-06,281.68,53937610,287.48,287.62,280.255,0
2022-12-05,287.64,41482120,290.38,291.68,286.15,0
2022-12-02,292.55,53583170,288.54,293.45,288.36,1
2022-12-01,293.72,51547330,293.69,295.75,290.88,1
2022-11-30,293.36,74718090,280.84,293.47,279.97,1
2022-11-29,280.57,35618880,282.94,283.35,279.17,0
2022-11-28,282.71,38877050,284.9,286.96,281.76,0
2022-11-25,286.92,15498800,287.19,287.91,286.42,0
2022-11-23,288.82,46389970,285.97,289.46,285.79,1
2022-11-22,285.95,41873440,282.64,286.11,280.46,1
2022-11-21,281.89,40083530,283.4,284.58,281.04,0
2022-11-18,284.82,53588630,287.89,287.99,282.3211,0
2022-11-17,284.81,55462080,280.88,286.3189,280.72,1
2022-11-16,285.44,48859800,287.39,289.4838,284.6,0
2022-11-15,289.39,73985370,292.21,293.26,285.97,0
2022-11-14,285.44,55080050,285.86,289.215,284.44,0
2022-11-11,287.96,66961750,282.56,288.64,281.19,1
2022-11-10,282.75,99256690,276.01,283.05,273.85,1
2022-11-09,263.32,64862130,267.76,268.56,263.03,0
2022-11-08,269.54,63213790,269.14,272.85,265.52,1
2022-11-07,267.59,47333830,265.75,268.14,263.57,1
2022-11-04,264.68,78313210,265.53,266.61,259.08,0
2022-11-03,260.49,70038900,263.01,264.5,260.1,0
2022-11-02,265.68,79803140,275.08,278.21,265.61,0
2022-11-01,275.11,45895900,281.495,282.07,274.74,0
2022-10-31,277.95,47741950,278.92,279.76,275.99,0
2022-10-28,281.22,62651310,272.23,281.698,272.06,1
2022-10-27,272.87,57760300,276.79,278.2795,272.34,0
2022-10-26,277.93,63898250,278.46,283.98,277.43,0
2022-10-25,284.21,59014490,279.41,284.6,277.9,1
2022-10-24,278.45,63963570,275.69,279.4,271.97,1
2022-10-21,275.42,77897690,267.98,275.969,266.8236,1
2022-10-20,269.11,60605500,269.58,274.84,267.92,0
2022-10-19,270.49,53115410,269.93,273.68,268.07,1
2022-10-18,271.48,69781000,276.53,277.21,268.74,0
2022-10-17,269.35,64576450,266.84,270.24,266.74,1
2022-10-14,260.74,77244300,271.2,271.81,260.14,0
2022-10-13,268.82,112894100,255.16,270.17,254.26,1
2022-10-12,262.66,50580180,263.4,265.36,261.95,0
2022-10-11,262.75,66522510,264.7,267.63,261.03,0
2022-10-10,266.41,60392990,269.3,269.7,263.64,0
2022-10-07,269.1,71354670,275.02,275.15,267.74,0
2022-10-06,279.76,53489410,280.96,284.18,279.43,0
2022-10-05,281.98,55766320,278.28,283.81,275.42,1
2022-10-04,282.13,66696930,278.99,282.85,278.99,1
2022-10-03,273.53,61267450,269.07,275.16,267.53,1
2022-09-30,267.26,78482380,271.03,275.19,267.1,0
2022-09-29,271.87,81215960,275.86,276.25,268.84,0
2022-09-28,279.94,79652140,274.46,281.25,272.945,1
2022-09-27,274.48,69780120,277.81,280.21,272.11,0
2022-09-26,274.37,71176690,275.03,279.49,273.56,0
2022-09-23,275.51,74815190,277.55,277.85,272.02,0
2022-09-22,280.07,62757070,282.0,283.03,278.815,0
2022-09-21,283.56,82930960,289.59,293.95,283.42,0
2022-09-20,288.73,51271120,288.49,291.07,286.38,1
2022-09-19,291.05,52613830,286.1,291.21,286.04,1
2022-09-16,289.32,79920390,287.72,289.72,285.62,1
2022-09-15,291.1,65299410,294.07,296.53,289.46,0
2022-09-14,296.03,54907200,294.865,296.93,293.06,1
2022-09-13,293.7,79562170,301.8,303.02,292.785,0
2022-09-12,310.74,45905740,308.5,311.08,308.18,1
2022-09-09,307.09,56125220,302.83,307.6,300.5209,1
2022-09-08,300.52,55649820,296.85,301.87,295.45,1
2022-09-07,298.97,49260380,293.54,299.99,293.27,1
2022-09-06,293.05,57005440,295.66,296.6,290.87,0
2022-09-02,295.17,64666840,302.34,303.75,293.52,0
2022-09-01,299.4,57990750,296.72,299.78,292.95,1
2022-08-31,299.27,50044040,303.99,304.91,299.16,0
2022-08-30,301.02,51184500,306.1,306.73,298.44,0
2022-08-29,304.41,48321850,304.62,307.22,303.28,0
2022-08-26,307.44,69047740,320.28,321.51,307.35,0
2022-08-25,320.58,38098260,316.83,320.6,315.7577,1
2022-08-24,315.01,38057060,313.61,316.87,312.99,1
2022-08-23,314.1,39497070,314.12,317.0,313.33,0
2022-08-22,314.36,51098890,318.5,318.74,313.53,0
2022-08-19,322.86,51770570,326.17,326.84,322.08,0
2022-08-18,329.28,41937170,328.44,330.49,326.79,1
2022-08-17,328.49,47842160,329.07,331.43,326.36,0
2022-08-16,332.28,41186860,332.055,334.4209,329.16,1
2022-08-15,333.06,38266610,329.42,333.5652,329.4,1
2022-08-12,330.39,40928380,326.175,330.585,325.1001,1
2022-08-11,324.08,45897650,328.305,330.36,323.36,0
2022-08-10,325.93,51459560,324.59,326.23,322.0601,1
2022-08-09,317.08,39764220,318.77,319.03,315.42,0
2022-08-08,320.71,44066300,322.69,326.47,319.21,0
2022-08-05,321.75,53893970,319.19,323.83,318.39,1
2022-08-04,324.4,38973660,322.97,324.72,320.77,1
2022-08-03,322.89,53735730,316.05,323.7291,315.99,1
2022-08-02,314.33,48676500,312.92,318.545,311.8401,1
2022-08-01,315.27,46358830,313.65,318.81,312.53,1
2022-07-29,315.46,57501040,311.385,316.39,309.931,1
2022-07-28,309.81,55139940,306.59,310.3965,302.745,1
2022-07-27,306.81,69304360,299.04,308.54,298.46,1
2022-07-26,294.37,50074120,298.53,298.79,293.54,0
2022-07-25,300.27,40582380,302.02,302.5,298.22,0
2022-07-22,301.99,57127720,306.43,308.55,300.115,0
2022-07-21,307.38,55049360,303.5,307.435,300.78,1
2022-07-20,303.03,67769430,298.73,304.24,297.9329,1
2022-07-19,298.3,55172640,293.11,298.6,291.47,1
2022-07-18,289.4,59519580,294.72,296.16,288.2,0
2022-07-15,291.87,63818150,289.73,291.98,288.08,1
2022-07-14,286.67,63741840,282.99,287.56,279.8,1
2022-07-13,285.65,73939420,280.6,288.05,280.02,1
2022-07-12,286.24,55797090,290.32,292.28,284.61,0
2022-07-11,289.04,55273920,292.88,293.11,288.14,0
2022-07-08,295.35,59895480,292.08,296.75,291.12,1
2022-07-07,294.98,56620110,289.63,295.7,289.63,1
2022-07-06,288.8,63194720,287.35,290.95,285.59,1
2022-07-05,286.96,61829270,278.31,287.08,276.7501,1
2022-07-01,282.13,56675110,278.95,282.53,277.03,1
2022-06-30,280.28,79313580,280.75,283.9441,275.78,0
2022-06-29,283.8,57302730,283.4,285.34,280.84,1
2022-06-28,283.54,61867060,293.0,295.65,283.35,0
2022-06-27,292.45,54151450,296.0,296.5799,291.29,0
2022-06-24,294.61,58422260,287.74,295.04,287.5001,1
2022-06-23,284.85,57457800,283.21,285.72,280.31,1
2022-06-22,280.67,67472920,278.52,285.18,277.91,1
2022-06-21,281.08,51633740,278.75,283.45,278.64,1
2022-06-17,274.69,82703400,272.18,277.19,270.5119,1
2022-06-16,271.39,81910300,275.59,276.06,269.28,0
2022-06-15,282.8,86051430,279.415,286.83,276.61,1
2022-06-14,275.91,64697520,277.66,278.66,273.3375,0
2022-06-13,275.41,94442010,279.75,282.34,274.53,0
2022-06-10,288.84,85963460,293.65,294.87,288.384,0
2022-06-09,299.4,55900480,305.91,309.05,299.23,0
2022-06-08,307.64,38342060,309.05,311.72,306.77,0
2022-06-07,309.87,44900290,303.81,310.67,302.6886,1
2022-06-06,307.22,51785010,310.75,312.35,305.62,0
2022-06-03,306.2,60914680,309.03,310.47,304.92,0
2022-06-02,314.38,59291330,304.85,314.56,303.4001,1
2022-06-01,306.0,65341650,310.47,312.65,303.73,0
2022-05-31,308.28,60968330,309.07,311.33,304.33,0
2022-05-27,309.1,66985600,302.54,309.25,302.42,1
2022-05-26,299.33,59462230,290.44,300.92,290.15,1
2022-05-25,291.26,67144550,285.71,293.39,285.5,1
2022-05-24,287.24,73491120,288.125,288.86,282.25,0
2022-05-23,293.48,63648400,289.75,293.87,287.29,1
2022-05-20,288.68,91764170,293.13,293.8,280.21,0
2022-05-19,289.58,79920710,289.29,294.39,287.58,1
2022-05-18,291.14,79477110,301.54,302.25,289.85,0
2022-05-17,306.17,62715290,304.45,306.56,300.55,1
2022-05-16,298.44,59190430,300.15,302.26,297.13,0
2022-05-13,301.94,83684930,295.72,302.999,294.0825,1
2022-05-12,291.15,120910900,287.45,295.75,284.94,1
2022-05-11,291.84,140326100,298.44,304.09,290.95,0
2022-05-10,300.76,124124600,304.51,305.76,296.57,0
2022-05-09,297.15,113387300,303.48,309.3487,295.72,0
2022-05-06,309.25,139572800,310.95,315.09,305.105,0
2022-05-05,313.0,154607400,325.17,325.25,309.62,0
2022-05-04,329.6,116083400,319.31,330.29,313.891,1
2022-05-03,318.82,78185530,318.5,321.17,315.98,1
2022-05-02,318.48,115511800,312.83,318.72,309.645,1
2022-04-29,313.25,91977860,323.7,327.225,312.6,0
2022-04-28,328.01,99449960,321.85,329.89,317.52,1
2022-04-27,316.76,111204200,317.24,322.88,315.0,0
2022-04-26,317.14,105819600,327.47,327.66,316.855,0
2022-04-25,329.58,101755900,323.73,329.9,322.43,1
2022-04-22,325.4,82562150,334.31,335.56,324.96,0
2022-04-21,334.15,75801010,345.19,347.87,333.2,0
2022-04-20,341.21,65500020,347.09,347.56,339.96,0
2022-04-19,346.26,56515680,338.03,346.85,336.98,1
2022-04-18,338.69,58560560,337.35,341.04,335.791,1
2022-04-14,338.43,73519370,346.44,346.97,338.21,0
2022-04-13,346.35,61367760,339.8,347.43,339.06,1
2022-04-12,339.45,72790220,345.76,347.69,338.035,0
2022-04-11,340.89,66107400,344.81,345.75,340.535,0
2022-04-08,349.15,61956090,352.32,353.09,348.5,0
2022-04-07,354.1,63777370,352.24,356.35,348.69,1
2022-04-06,353.26,90077070,355.65,356.78,350.56,0
2022-04-05,361.1,62738660,367.81,368.54,359.93,0
2022-04-04,369.3,45950170,362.71,369.31,362.44,1
2022-04-01,361.85,54527760,362.81,363.61,358.59,0
2022-03-31,362.54,67011410,367.24,367.6,361.68,0
2022-03-30,367.09,68757710,369.275,370.98,365.57,0
2022-03-29,371.19,68072960,368.9,371.83,366.06,1
2022-03-28,364.91,56833870,359.34,365.01,358.07,1
2022-03-25,359.35,57584160,359.59,360.67,354.9438,0
2022-03-24,359.65,53555250,353.8,359.7,351.5939,1
2022-03-23,351.83,70615460,354.01,357.66,351.77,0
2022-03-22,356.96,63345930,350.59,357.85,350.2,1
2022-03-21,350.08,73799070,350.2,352.48,345.575,0
2022-03-18,351.49,85446350,342.74,351.79,341.55,1
2022-03-17,344.44,67809950,338.37,344.5,337.0406,1
2022-03-16,340.32,105243000,332.17,340.44,328.401,1
2022-03-15,328.15,76470990,320.88,328.95,319.23,1
2022-03-14,318.17,79802610,323.13,326.59,317.45,0
2022-03-11,324.4,66228430,334.32,334.64,323.9,0
2022-03-10,331.27,69362710,330.82,332.51,326.71,1
2022-03-09,334.99,64723370,331.75,336.38,329.09,1
2022-03-08,323.35,116153900,324.05,333.21,319.94,0
2022-03-07,324.86,89933790,337.29,338.48,324.65,0
2022-03-04,337.3,77009760,339.84,341.31,334.92,0
2022-03-03,342.26,71089390,349.93,350.04,340.35,0
2022-03-02,347.22,70609020,343.08,348.59,340.24,1
2022-03-01,341.49,67407000,345.75,348.078,338.9,0
2022-02-28,346.8,77515540,342.51,348.54,341.32,1
2022-02-25,345.77,78842090,341.31,345.98,337.39,1
2022-02-24,340.49,130614100,318.84,341.04,318.26,1
2022-02-23,329.42,86215370,341.32,342.183,329.1,0
2022-02-22,338.08,85967100,338.49,344.04,334.35,0
2022-02-18,341.51,80001510,346.41,346.81,339.14,0
2022-02-17,345.45,61801350,352.74,353.46,345.02,0
2022-02-16,356.04,58947090,353.82,357.0896,350.71,1
2022-02-15,356.13,55390810,352.91,356.37,351.82,1
2022-02-14,347.49,80254440,346.49,350.98,343.89,1
2022-02-11,347.06,101569100,358.43,360.07,345.8,0
2022-02-10,358.43,112468500,359.52,366.4885,356.54,0
2022-02-09,366.73,55766420,363.76,366.81,362.12,1
